,text,edit_history_tweet_ids,created_at,id,author_id
21,"Karen Bass took the lead over Rick Caruso in the Los Angeles mayoral race tonight. She now leads 50.4% to 49.6%, and if the primary is any indication, her lead should only grow from here. https://t.co/BYasVQKfcg",['1591281421733474304'],2022-11-12T04:07:10.000Z,1591281421733474304,2303751216
22,Latest election results --&gt; https://t.co/VsX3S6BIgP,['1591275246421770241'],2022-11-12T03:42:37.000Z,1591275246421770241,2303751216
23,"With the latest update from Maricopa County, Hobbs extends her lead over Lake to 31,097 votes (51% to 49%) in Arizona’s governor race. https://t.co/AvndrKlgb3",['1591274823443189762'],2022-11-12T03:40:57.000Z,1591274823443189762,2303751216
24,"ABC News is reporting that Democrat Adrian Fontes is projected to win the Arizona secretary of state’s race. He leads Republican Mark Finchem, who was involved in efforts to overturn Biden’s 2020 win in Arizona, 53% to 47%. https://t.co/qIHFDpfQNB",['1591274521410949120'],2022-11-12T03:39:45.000Z,1591274521410949120,2303751216
25,"Earlier tonight, ABC News reported that Democratic Rep. Susie Lee is projected to win Nevada’s 3rd Congressional District. Lee’s victory means that Democrats will control three of the Silver State’s four House seats. https://t.co/9EWwNphRPg",['1591273899668348928'],2022-11-12T03:37:16.000Z,1591273899668348928,2303751216
26,"Democrats are now projected to have 49 seats in the next U.S. Senate, and could clinch a majority with one more seat. 

That could happen as soon as this weekend. https://t.co/r94GVO2O1b https://t.co/HvnFclGkGf",['1591273374185328641'],2022-11-12T03:35:11.000Z,1591273374185328641,2303751216
27,"ABC News is reporting that Democratic incumbent Mark Kelly is projected to win Arizona’s U.S. Senate race. 

Maricopa County just reported about 74,000 ballots, and they split for Kelly 40,719 votes to 32,318. That stretched Kelly’s statewide lead to 52%. https://t.co/PqLEBemexO",['1591272872840146944'],2022-11-12T03:33:11.000Z,1591272872840146944,2303751216
28,"Republicans are hoping that the early ballots dropped off on Election Day will be better for them than the ones that reported on Wednesday and Thursday, which were primarily early ballots dropped off on the Saturday, Sunday and Monday before Election Day. https://t.co/uoEW5tKs6t https://t.co/8jymir5yfA",['1591120744033185792'],2022-11-11T17:28:41.000Z,1591120744033185792,2303751216
29,"In Arizona’s gubernatorial race, we estimate that Lake would have to win about 53% of the outstanding ballots in order to win. That hasn’t been happening so far in the vote drops we’ve seen, but it’s certainly within the realm of possibility. https://t.co/PpvYVUUNHs https://t.co/p1UzzUTLsK",['1591119486811516928'],2022-11-11T17:23:41.000Z,1591119486811516928,2303751216
30,"Here’s where things stand in Arizona's Senate race. About 500,000 ballots remain to be counted, and we estimate that Masters would have to win at least 61% of them to get more votes than Kelly overall. (Kelly currently has a 115,037-vote lead.) https://t.co/OnUcLlJA9v https://t.co/DvRAjDahj8",['1591117112877121536'],2022-11-11T17:14:15.000Z,1591117112877121536,2303751216
31,Latest election results --&gt; https://t.co/PClj7zWXQe,['1591110681767575554'],2022-11-11T16:48:42.000Z,1591110681767575554,2303751216
